before4;before3;before2;before1;target;after1;after2;after3;after4
Умирающий; человек; вручает; свою; душу; Богу; Мастер; Хайлигенкройца; около
; ; ; Понятие; души; в; качестве; бессмертной; нематериальной
в; рамках; поведения; понятие; души; начиная; с; середины; века
Возник; принцип; психологии; без; души; введённый; Ф; Ланге; В
смены; одних; учений; о; душе; другими; по; содержанию; и
совершенного; устранения; учения; о; душе; Вопреки; популярным; представлениям; попытки
попытки; обнаружения; материального; проявления; души; не; получили; положительных; результатов
Нет; доказательств; подтверждающих; существование; души; включая; косвенные; признаки; влияния
включая; косвенные; признаки; влияния; души; на; реальный; мир; которые
стать; такими; доказательствами; Идея; души; противоречит; современным; наукам; психологии
связанных; с; ним; понятий; душа; дух; рай; ад; и
Христианство; Вопрос; о; предсуществовании; души; Бессмертие; души; В; других
о; предсуществовании; души; Бессмертие; души; В; других; религиях; и
Попытки; обнаружения; материального; проявления; души; См; также; ; 
править; править; код; Человеческие; души; в; Дзигокудзоси; царстве; пекла
среди; этнографов; исследовал; идею; души; в; первобытной; культуре; и
анимистическую; теорию; от; итал; душа; происхождения; и; развития; религии
Позднее; мифологические; представления; наделили; душой; животных; растения; и; неодушевлённые
различать; раннее; представление; о; душе; телесной; не; отделимой; от
и; более; позднее; свободная; душа; психе; имеющая; несколько; основных
имеющая; несколько; основных; разновидностей; душа; как; дыхание; и; душа
душа; как; дыхание; и; душа; как; тень; которая; способна
Я; Штернбергу; идея; человеческой; души; является; сравнительно; поздней; ей
распространение; веру; во; внешнюю; душу; которая; может; не; просто
; В; элементарном; представлении; душу; отождествляют; с; дыханием; стслав
отождествляют; с; дыханием; стслав; душа; от; корня; дых; дух
же; архаичным; является; отождествление; души; и; крови; человека; и
мяса; в; пищу; ибо; душа; всякого; тела; есть; кровь
есть; кровь; его; она; душа; его; поэтому; я; сказал
какого; тела; потому; что; душа; всякого; тела; есть; кровь
кровь; его; Лев; Вместилище; души; во; многих; культурах; также
похищением; или; поеданием; человеческой; души; колдуном; злым; духом; или
злым; духом; или; призраком; душа; олицетворяла; здоровье; тогда; как
что; во; время; сна; душа; выходит; из; тело; и
будить; человека; потому; что; душа; не; успеет; вернуться; в
тело; В; таких; представлениях; душа; вещественна; не; противопоставлена; телесной
противопоставляют; живого; человека; и; душу; умершего; человека; Если; душа
душу; умершего; человека; Если; душа; живого; умирает; вместе; с
вместе; с; человеком; то; душа; или; дух; умершего; является
является; иным; существом; Человеческая; душа; способна; стать; духом; умершего
алтайцев; и; др; различаются; душа; тын; дыхание; которое; не
что; человек; обладает; несколькими; душами; например; хунь; и; по
то; полностью; не; разложится; душу; лин; имеют; все; вещи
частей; и; органов; тела; душе; умершего; гуй; злой; дух
добрый; дух; Взгляды; на; душу; умершего; и; о; её
Так; в; австралийской; мифологии; душа; умершего; сама; умирает; спустя
знатных; людей; тогда; как; души; простолюдинов; существуют; в; жалком
воздаянии; в; результате; которого; душа; доброго; справедливого; праведного; человека
загробном; месте; тогда; как; душа; злого; грешного; будет; вечно
к; существенным; изменений; концепции; души; в; мифологические; системах; мировых
которые; выстроили; резкое; противопоставление; души; и; тела; сделали; понятие
и; тела; сделали; понятие; души; центральным; в; своём; вероучении
человека; стали; считать; спасение; души; В; то; же; время
В; то; же; время; душу; в; христианстве; стала; мыслиться
учению; о; посмертной; участи; души; идея; реинкарнации; переселения; душ
которая; как; и; понятие; души; восходит; к; глубокой; древности
Северной; Америки; верят; что; душа; его; деда; входит; во
напротив; за; нарушения; законов; душа; человека; атман; наказывается; тем
трактовка; Буддизм; отрицает; существование; души; человека; как; и; её
языка; Д; Н; Ушакова; душа; в; религиозных; и; идеалистических
править; править; код; Символ; души; птица; на; византийской; мозаике
Досократики; задавались; вопросом; о; душе; и; особенно; о; связи
С; точки; зрения; Платона; душа; и; тело; существуют; отдельно
подвержена; смерти; смерть; изгоняет; душу; из; тела; но; не
Федон; а; Для; Аристотеля; душа; и; тело; неразрывно; взаимосвязаны
форма; Он; также; называет; душу; первой; энтелехией; тела; Душа
в; возможности; жизнью; Итак; душа; неотделима; от; тела; ясно
какаялибо; часть; её; если; душа; по; природе; имеет; части
части; ибо; некоторые; части; души; суть; энтелехия; телесных; частей
Аристотель; различает; три; рода; души; растительная; способная; к; питанию
есть; все; три; рода; души; По; поводу; двух; первых
тела; по; поводу; разумной; души; склоняется; к; тому; что
тела; Он; пишет; Итак; душа; неотделима; от; тела; ясно
какаялибо; часть; её; если; душа; по; природе; имеет; части
части; ибо; некоторые; части; души; суть; энтелехия; телесных; частей
мешает; чтобы; некоторые; части; души; были; отделимы; от; тела
не; ясно; есть; ли; душа; энтелехия; тела; в; том
; Демокрит; считал; что; душа; есть; у; всего; она
полагал; процессом; обмена; внутренней; души; с; внешней; вдыхая; человек
или; животное; наполняется; внешней; душой; выдыхая; оставляет; в; воздухе
в; воздухе; частицы; собственной; души; Поэтому; душа; изменчива; Состояние
частицы; собственной; души; Поэтому; душа; изменчива; Состояние; души; зависит
Поэтому; душа; изменчива; Состояние; души; зависит; от; подвижности; составляющих
; Эпикурейцы; предполагали; что; душа; как; и; тело; состоит
; Стоики; также; считали; душу; материальной; и; состоящей; из
Поэтому; они; полагали; что; душа; умирает; вместе; с; телом
; ; Стоики; сравнивали; душу; младенца; с; чистым; листом
за; античными; философами; определял; душу; как; первое; начало; жизни
античного; периода; к; исследованию; души; вновь; обращаются; Лейбниц; Шопенгауэр
именно; что; животное; и; душа; получают; начало; только; вместе
но; всётаки; в; разумных; душах; есть; та; особенность; что
только; обычными; или; ощущающими; душами; но; как; только; те
человеческой; природы; их; ощущающие; души; возвышаются; до; степени; разума
; Против; христианского; понимания; души; выступал; Иммануил; Кант; Апелляция
имя; разрешения; вопроса; о; душе; представляет; собой; согласно; Канту
разума; Для; него; же; душа; есть; предмет; внутреннего; чувства
субстанция; теория; же; субстанциальности; души; должна; уступить; место; теории
веке; преобладает; тенденция; интерпретации; души; как; мистического; понятия; несмотря
; ; В; Талмуде; душа; описывается; как; независимая; от
Богом; По; своей; природе; душа; непорочна; а; злое; в
остаётся; невидим; так; и; душа; наполняет; тело; человека; сама
расходились; в; понимании; сути; души; Фарисеи; считали; что; душа
души; Фарисеи; считали; что; душа; бессмертна; и; может; существовать
Саддукеи; же; считали; что; душа; умирает; вместе; с; телом
; Общепринятое; представление; о; душе; в; иудаизме; говорит; что
что; после; смерти; все; души; и; евреев; и; неевреев
рай; но; перед; этим; душа; проходит; этап; очищения; от
читать; все; месяцев; Только; души; самых; страшных; злодеев; например
Поскольку; по; представлениям; иудаизма; души; всех; людей; в; конце
конфессий; характерно; представление; о; душе; как; о; сотворённой; Богом
воли; т; н; троичность; души; составной; неотъемлемой; частью; которой
христианских; писателей; например; Тертуллиана; душа; материальна; трактат; другие; же
классической; патристике; преобладает; понимание; души; как; непространственной; нематериальной; субстанции
телесными; очами; видеть; красоту; души; то; никакие; красоты; земные
нею; Григорий; Нисский; уподоблял; душу; зеркалу; в; котором; если
; В; христианстве; понятие; душа; неразрывно; связано; с; понятием
что; после; воскресения; умерших; души; спасённых; людей; воссоединятся; с
; Вопрос; о; предсуществовании; души; ; ; ; 
том; творится; ли; каждая; душа; Богом; непосредственно; в; момент
или; после; того; или; души; сотворены; ранее; является; открытым
Ориген; считал; что; все; души; предсуществуют; В; рамках; осуждения
о; творении; Богом; каждой; души; из; ничего; Священномученик; Ириней
святые; говорят; о; творении; души; вместе; с; телом; другие
телом; другие; о; творении; души; на; й; день; после
мнение; о; рождении; человеческой; души; от; душ; родителей; Тертуллиан
; ; ; Бессмертие; души; править; править; код; Основная
код; Основная; статья; Бессмертие; души; См; также; Смертность; души
души; См; также; Смертность; души; По; религиозным; поверьям; после
поверьям; после; всеобщего; суда; душа; соединяется; с; воскресшим; телом
надевает; новые; так; и; душа; входит; в; новые; материальные
; ; Буддисты; обозначали; душу; словом; атман; Ранний; буддизм
Тхеравада; не; признают; существование; души; в; индуистском; понимании; Махаяна
обычно; переводят; как; нет; души; Если; слово; душа; относится
нет; души; Если; слово; душа; относится; к; бестелесной; компоненте
буддизм; не; отрицает; существование; души; Российский; буддолог; Торчинов; Е
буддийской; доктрине; о; не; душе; буддизм; отрицает; существование; атмана
буддизм; отрицает; существование; атмана; души; личности; я; и; считает
Попытки; обнаружения; материального; проявления; души; ; ; ; 
о; существовании; особой; субстанции; души; на; физиологическом; конгрессе; в
год; отразивший; идею; что; душа; весит; грамм; ; 
экспериментов; по; прямому; взвешиванию; души; в; соответствии; с; научной
кг; Врач; выполнил; измерений; души; умирающих; людей; с; их
воспроизводимым; выводы; о; весе; души; являются; ненаучными; ; 
научных; доказательств; подтверждающих; существование; души; Нейронаука; стремится; понять; психические
Кэрролл; писал; что; идея; души; несовместима; с; квантовой; теорией
пишет; что; для; существования; души; Необходима; не; только; новая
механизм; объяснения; возможного; взаимодействия; души; и; мозга; но; нейробиолог
пришёл; к; выводу; что; душа; не; имеет; под; собой
мозга; не; наблюдаются; паранормальное; душа; эктоплазма; или; эссенция; работа
; ; ; Родственная; душа; Душевность; Мировая; душа; Дух
Родственная; душа; Душевность; Мировая; душа; Дух; ; ; 
; ; Атман; Потеря; души; Природа; и; сущность; человека
мая; года; Аристотель; О; душе; Аристотель; О; душе; а
О; душе; Аристотель; О; душе; а; Фома; Аквинский; Сумма
о; том; является; ли; душа; сотворённой; долгое; время; был
Бытия; нет; утверждения; что; душа; была; сотворена; как; сказано
ту; точку; зрения; что; душа; является; именно; сотворённой; Святитель
Язычники; полагали; что; человеческая; душа; составляет; частицу; Божества; Мысль
из; этого; о; божественности; души; человеческой; по; самому; её
Амвросий; Ермаков; Откуда; приходит; душа; перед; зарождением; Дата; обращения
Взвешивая; невесомость; Сколько; весят; душа; и; атомы; Архивировано; августа
С; Архаические; представления; о; душе; В; Г; Лысенко; Душа
Святитель; Лука; ВойноЯсенецкий; Дух; душа; и; тело; Брюссель; Положительное
Александрович; Подорога; О; человеческой; душе; и; плоти; Из; выступлений
Нейрон; Душа; Душа; Душа; душа; Душа; Душа; Родственнаядуша; Душевность
