before4;before3;before2;before1;target;after1;after2;after3;after4
Начало; Первобытные; представления; о; душе; Идея; души; в; Античности
представления; о; душе; Идея; души; в; Античности; Душа; в
в; индийской; культуре; Несуществование; души; в; буддизме; Представления; о
в; буддизме; Представления; о; душе; в; христианстве; Душа; в
арабомусульманской; мысли; Представления; о; душе; в; эпоху; Возрождения; Идея
в; эпоху; Возрождения; Идея; души; в; философии; и; науке
; ; ; Понятие; душа; общеславянское; корень; тот; же
психологической; и; др; термин; душа; не; употребляется; или; используется
В; повседневном; словоупотреблении; слово; душа; по; содержанию; обычно; соответствует
; Первобытные; представления; о; душе; В; первобытные; времена; идея
В; первобытные; времена; идея; души; непосредственно; связывалась; с; верой
или; злые; намерения; Местоположение; души; связывалось; с; различными; частями
народов; полагали; что; носителями; души; также; являются; почки; фаллос
птицы; насекомого; мыши; На; душу; человека; можно; было; воздействовать
враждебного; племени; Посмертное; существование; души; зависело; как; от; обстоятельств
; ; ; Идея; души; в; Античности; ; 
пантеоне; существовала; олицетворяющая; человеческую; душу; богиня; Психея; Психе; которую
; ; В; пифагореизме; душа; рассматривается; как; бессмертное; существо
за; грех; титанов; причём; душа; по; мнению; Пифагора; обладает
прежних; воплощениях; У; Гераклита; душа; выступает; основанием; сознания; и
и; нравственности; у; Демокрита; душа; состоит; из; атомов; огня
В; философском; учении; Платона; душа; рассматривается; как; принцип; движения
Платоном; даётся; социальноэтическая; трактовка; души; где; рациональной; эмоциональногневливой; и
эмоциональногневливой; и; похотливой; частям; души; расположенным; в; голове; груди
сословие; В; этой; трёхуровневой; душе; бессмертна; только; созданная; демиургом
разумная; часть; благодаря; которой; душа; способна; испытывать; влияния; тела
неразумную; часть; Аристотель; рассматривает; душу; как; способ; организации; живого
только; мыслящая; ноэтическая; часть; души; Душа; в; индийской; культуре
различие; представлений; о; телесной; душе; и; душе; отличной; от
о; телесной; душе; и; душе; отличной; от; тела; но
тела; но; единой; концепции; души; в; этих; древнеиндийских; произведениях
при; смерти; После; смерти; душа; может; уйти; на; небо
; В; философских; школах; душа; рассматривалась; в; двух; перспективах
морального; воздаяния; то; есть; душа; уподобляется; кучеру; тело; колеснице
созерцающее; сознание; то; есть; душа; является; хозяином; тела; колесницы
перерождения; обсуждался; вопрос; существования; души; после; смерти; её; размер
Единственной; школой; отрицавшей; перерождение; души; была; Локаята; материалистычарваки; в
Локаята; материалистычарваки; в; джайнизме; душой; наделялись; не; только; люди
минералы; В; перспективе; освобождения; душа; рассматривалась; как; неизменная; и
и; впоследствии; индуизма; индивидуальная; душа; как; низшее; я; связанное
; ; ; Несуществование; души; в; буддизме; ; 
не; только; идеи; бессмертия; души; но; и; идеи; перерождений
идеи; перерождений; как; переселения; души; из; тела; в; тело
не; говорят; о; бессмертной; душе; и; перевоплощении; но; говорят
; ; Представления; о; душе; в; христианстве; В; христианстве
и; подобию; Божьему; наделён; душой; которая; творится; из; ничего
; Вопрос; о; бессмертии; души; и; её; качествах; решался
представление; о; том; что; души; грешников; погибнут; Татиан; Арнобий
Арнобий; Тертуллиан; отстаивал; телесность; души; Августин; же; утверждал; бессмертность
утверждал; бессмертность; и; бестелесность; души; и; подразделял; её; на
является; результатом; запечатления; в; душе; образа; Троицы; Допускались; три
Допускались; три; возможности; происхождения; души; в; христианстве; креационизм; творение
христианстве; креационизм; творение; Богом; души; в; момент; образования; тела
