before4;before3;before2;before1;target;after1;after2;after3;after4
до; РХ; считал; что; душа; вечная; составляющая; человека; тело
смертно; и; бренно; но; душу; уничтожить; нельзя; После; смерти
уничтожить; нельзя; После; смерти; душа; входит; в; другое; тело
одного; тела; в; другое; душа; постепенно; очищается; от; зла
учили; что; тело; темница; души; Искупление; обретают; те; кто
тайны; ведущие; к; освобождению; души; от; тела; Библейские; представления
тела; Библейские; представления; о; душе; отличаются; от; вышеперечисленных; В
от; вышеперечисленных; В; ВЗ; душа; это; жизненная; сила; человека
Еврейское; и; греческое; обозначение; души; часто; могут; быть; переведены
Быт; Лев; Душу; за; душу; значит; жизнь; за; жизнь
Исх; В; законах; слово; душа; указывает; на; человека; по
закону; например; если; какая; душа; согрешит; Лев; Когда; проводилась
более; узком; значении; слово; душа; указывает; на; чувства; и
всем; сердцем; и; всей; душой; Втор; Знание; и; понимание
Плач; все; это; порождается; душой; Здесь; понятие; души; близко
порождается; душой; Здесь; понятие; души; близко; к; тому; что
не; говорится; о; перевоплощениях; души; как; нематериальной; и; бессмертной
собой; единство; тела; и; души; эти; термины; описывают; не
человека; в; Быт; выражение; душа; живая; лучше; следовало; бы
мужчина; и; женщина; стали; душами; потому; что; они; явно
дело; не; в; характере; души; самой; по; себе; как
В; НЗ; слово; обозначающее; душу; имеет; ряд; значений; подобных
Иисуса; рисковали; своей; жизнью; душой; ради; Него; Деян; Ин
и; отдать; Свою; жизнь; душу; за; искупление; многих; Мф
Он; отдает; Свою; жизнь; душу; за; Своих; овец; Ин
условие; ученичества; возненавидеть; собственную; душу; то; есть; быть; готовым
Христа; Лк; Откр; Часто; душа; может; означать; человек; Деян
Он; говорил; что; Его; душа; скорбит; смертельно; Мф; Мк
и; в; других; местах; душа; указывает; на; сущность; человека
Ин; В; нескольких; отрывках; душа; ставится; в; один; ряд
Аналогично; в; Евр; разделение; души; и; духа; образный; способ
читатели; были; безупречны; духом; душой; и; телом; способ; указания
на; личность; целиком; Здесь; душа; вероятно; обозначает; физическое; существование
должны; любить; Бога; всей; душой; Мф; Мк; Втор; Выражение
Мк; Втор; Выражение; от; души; Еф; Кол; означает; от
в; которых; говорится; о; душе; в; связи; со; спасением
Откр; В; этих; отрывках; душа; указывает; на; внутреннюю; сущность
