before4;before3;before2;before1;target;after1;after2;after3;after4
; ; Что; такое; душа; ; ; ; 
Богом; В; католической; вере; душа; считается; источником; жизни; сознания
статья; объясняет; что; такое; душа; её; природу; роль; в
зрения; католического; учения; Определение; души; Согласно; католическому; учению; душа
души; Согласно; католическому; учению; душа; это; духовная; бессмертная; часть
Католической; Церкви; ККЦ; определяет; душу; как; внутреннюю; сущность; человека
человек; рассматривается; как; единство; души; и; тела; Душа; оживляет
тело; служит; средством; выражения; души; в; материальном; мире; Это
Катехизис; ККЦ; учит; что; душа; и; тело; неразделимы; в
жизни; но; после; смерти; душа; отделяется; от; тела; и
перед; Божьим; судом; Создание; души; Католическая; вера; утверждает; что
вера; утверждает; что; каждая; душа; создаётся; непосредственно; Богом; в
других; существ; так; как; душа; не; наследуется; от; родителей
; ; ; Судьба; души; после; смерти; После; физической
смерти; После; физической; смерти; душа; отделяется; от; тела; и
Согласно; католическому; учению; судьба; души; может; быть; следующей; Рай
согласно; вере; в; воскресение; души; праведников; воссоединятся; с; их
жизни; в; раю; а; души; грешников; для; вечного; наказания
наказания; в; аду; Роль; души; в; земной; жизни; Душа
Евхаристия; Моральный; выбор; Благодаря; душе; человек; обладает; свободной; волей
особенно; смертный; наносит; вред; душе; отдаляя; её; от; Бога
Через; покаяние; и; таинства; душа; может; быть; очищена; и
восстановлена; в; благодати; Символика; души; В; христианской; традиции; душа
души; В; христианской; традиции; душа; часто; символизируется; через; образы
Мф; Дыхание; В; Библии; душа; ассоциируется; с; дыханием; жизни
или; бабочка; В; искусстве; душа; иногда; изображается; как; птица
; Значение; учения; о; душе; Учение; о; душе; имеет
о; душе; Учение; о; душе; имеет; глубокое; значение; для
творения; Ответственность; Осознание; бессмертия; души; побуждает; человека; жить; добродетельно
вечность; Вера; в; бессмертную; душу; даёт; утешение; перед; лицом
предназначению; В; католической; традиции; душа; является; основой; человеческой; личности
её; состояния; Учение; о; душе; вдохновляет; христиан; жить; в
