before4;before3;before2;before1;target;after1;after2;after3;after4
В; индийской; философии; понятие; духа; раскрывается; прежде; всего; через
античной; философии; различные; аспекты; духа; представлены; такими; понятиями; как
в; Ветхом; Завете; божественный; дух; как; высшая; часть; человеческой
в; составе; человека; выделяются; дух; душа; и; тело; ср
различение; между; нетварным; божественным; духом; учение; о; Троице; и
и; Святом; Духе; и; дух; тварных; существ; ангелов; и
В; мусульманском; богословии; термин; дух; араб; часто; выступающий; как
получает; развитие; рационалистическое; понимание; духа; прежде; всего; как; разума
как; разума; мышления; лат; дух; как; мыслящая; субстанция; противопоставленная
Лейбниц; Одним; из; синонимов; духа; франц; у; КА; Гельвеция
Критике; способности; суждения; определяет; дух; как; способность; изображения; эстетических
эстетических; идей; Социальное; измерение; духа; как; присутствующего; в; человеческом
в; таких; понятиях; как; дух; законов; у; ШЛ; Монтескьё
воля; у; ЖЖ; Руссо; дух; народов; пронизывающий; различные; сферы
у; ИГ; Гердера; объективный; дух; охватывающий; право; гражданское; общество
классического; идеализма; характерно; истолкование; духа; прежде; всего; как; абсолютной
тождества; Шеллинга; природа; и; дух; предстают; как; два; полюса
Абсолюта; природа; как; видимый; дух; Дух; как; невидимая; природа
которых; предстаёт; как; феноменология; духа; свободная; от; случайностей; история
с; материей; Спонтанное; движение; духа; раскрывающее; содержание; этого; абсолютного
её; я; часть; Философия; духа; завершает; постижение; идеи; или
конечного; субъективного; и; объективного; духа; и; бесконечного; абсолютного; духа
духа; и; бесконечного; абсолютного; духа; представленного; искусством; религией; и
течений; вв; характерны; психологизация; духа; сведение; его; к; интеллектуальным
в; в; направления; истории; духа; как; специфического; способа; истолкования
гуманитарных; наук; наук; о; духе; естественнонаучному; знанию; наукам; о
натуралистическом; варианте; философии; жизни; дух; противопоставляется; сфере; жизненных; влечений
Шелера; изначальное; напряжение; бессильного; духа; и; мощного; но; слепого
взаимопроникновение; приводящее; к; оживотворению; духа; и; осуществлению; вечного; Божественного
В; онтологии; Н; Гартмана; дух; как; высший; слой; бытия
философской; антропологии; и; психологии; дух; выступает; как; характеристика; мотивационносмысловых
психология; Гуманистическая; психология; Понятие; духа; оказывается; при; этом; более
